estrutura,tipo_acesso,tamanho_base,qtd_acessos,tempo_total_ms,tempo_medio_por_acesso_ms
Splay,enviesado,1000,1000,0.1617,0.0001617
Splay,uniforme,1000,1000,0.1983,0.0001983
Treap,enviesado,1000,1000,0.0475,4.75e-05
Treap,uniforme,1000,1000,0.0448,4.48e-05
Splay,enviesado,1000,10000,1.5896,0.00015896
Splay,uniforme,1000,10000,2.0512,0.00020512
Treap,enviesado,1000,10000,0.5792,5.792e-05
Treap,uniforme,1000,10000,0.468,4.68e-05
Splay,enviesado,1000,100000,14.8814,0.000148814
Splay,uniforme,1000,100000,18.7402,0.000187402
Treap,enviesado,1000,100000,4.4835,4.4835e-05
Treap,uniforme,1000,100000,4.3872,4.3872e-05
