===== Trie =====
Trie | curto | n=10 -> insercao=0.004800ms, busca=0.000200ms, remocao=0.002700ms, nos=30, memoria=6480bytes
Trie | curto | n=1000 -> insercao=0.230800ms, busca=0.010200ms, remocao=0.139300ms, nos=1519, memoria=328104bytes
Trie | curto | n=10000 -> insercao=1.448100ms, busca=0.131100ms, remocao=0.997200ms, nos=8412, memoria=1816992bytes
Trie | curto | n=100000 -> insercao=5.521100ms, busca=1.509900ms, remocao=3.149500ms, nos=18202, memoria=3931632bytes
Trie | medio | n=10 -> insercao=0.005600ms, busca=0.000300ms, remocao=0.005100ms, nos=79, memoria=17064bytes
Trie | medio | n=1000 -> insercao=0.755400ms, busca=0.087000ms, remocao=0.852300ms, nos=6521, memoria=1408536bytes
Trie | medio | n=10000 -> insercao=7.772000ms, busca=0.687100ms, remocao=5.082100ms, nos=58225, memoria=12576600bytes
Trie | medio | n=100000 -> insercao=102.822200ms, busca=15.465100ms, remocao=72.848900ms, nos=507581, memoria=109637496bytes
Trie | longo | n=10 -> insercao=0.011300ms, busca=0.000500ms, remocao=0.009500ms, nos=201, memoria=43416bytes
Trie | longo | n=1000 -> insercao=1.950600ms, busca=0.182200ms, remocao=1.129800ms, nos=18534, memoria=4003344bytes
Trie | longo | n=10000 -> insercao=19.490100ms, busca=5.274100ms, remocao=22.402000ms, nos=178139, memoria=38478024bytes
Trie | longo | n=100000 -> insercao=274.307600ms, busca=73.996400ms, remocao=298.953800ms, nos=1707759, memoria=368875944bytes

===== Patricia =====
Patricia | curto | n=10 -> insercao=0.005900ms, busca=0.005000ms, remocao=0.006000ms, nos=12, memoria=3005bytes
Patricia | curto | n=1000 -> insercao=0.189700ms, busca=0.091700ms, remocao=0.227700ms, nos=1286, memoria=320446bytes
Patricia | curto | n=10000 -> insercao=1.493400ms, busca=0.964700ms, remocao=2.156400ms, nos=8412, memoria=2094587bytes
Patricia | curto | n=100000 -> insercao=9.745300ms, busca=10.014900ms, remocao=13.119800ms, nos=18202, memoria=4532297bytes
Patricia | medio | n=10 -> insercao=0.002100ms, busca=0.000900ms, remocao=0.001800ms, nos=12, memoria=3054bytes
Patricia | medio | n=1000 -> insercao=0.118100ms, busca=0.081400ms, remocao=0.286800ms, nos=1341, memoria=339088bytes
Patricia | medio | n=10000 -> insercao=2.575000ms, busca=1.276100ms, remocao=3.650400ms, nos=12722, memoria=3213280bytes
Patricia | medio | n=100000 -> insercao=25.423900ms, busca=19.879500ms, remocao=51.479200ms, nos=127389, memoria=32100052bytes
Patricia | longo | n=10 -> insercao=0.003800ms, busca=0.001100ms, remocao=0.001500ms, nos=11, memoria=2928bytes
Patricia | longo | n=1000 -> insercao=0.394000ms, busca=0.337700ms, remocao=0.713100ms, nos=1323, memoria=346637bytes
