estrutura,caso,tamanho,tempo_insercao_ms,tempo_busca_ms,tempo_remocao_ms,quantidade_nos,memoria_bytes_estimada
Trie,curto,10,0.0048,0.0002,0.0027,30,6480
Trie,curto,1000,0.2308,0.0102,0.1393,1519,328104
Trie,curto,10000,1.4481,0.1311,0.9972,8412,1816992
Trie,curto,100000,5.5211,1.5099,3.1495,18202,3931632
Trie,medio,10,0.0056,0.0003,0.0051,79,17064
Trie,medio,1000,0.7554,0.087,0.8523,6521,1408536
Trie,medio,10000,7.772,0.6871,5.0821,58225,12576600
Trie,medio,100000,102.822,15.4651,72.8489,507581,109637496
Trie,longo,10,0.0113,0.0005,0.0095,201,43416
Trie,longo,1000,1.9506,0.1822,1.1298,18534,4003344
Trie,longo,10000,19.4901,5.2741,22.402,178139,38478024
Trie,longo,100000,274.308,73.9964,298.954,1707759,368875944
Patricia,curto,10,0.0059,0.005,0.006,12,3005
Patricia,curto,1000,0.1897,0.0917,0.2277,1286,320446
Patricia,curto,10000,1.4934,0.9647,2.1564,8412,2094587
Patricia,curto,100000,9.7453,10.0149,13.1198,18202,4532297
Patricia,medio,10,0.0021,0.0009,0.0018,12,3054
Patricia,medio,1000,0.1181,0.0814,0.2868,1341,339088
Patricia,medio,10000,2.575,1.2761,3.6504,12722,3213280
Patricia,medio,100000,25.4239,19.8795,51.4792,127389,32100052
Patricia,longo,10,0.0038,0.0011,0.0015,11,2928
Patricia,longo,1000,0.394,0.3377,0.7131,1323,346637
Patricia,longo,10000,2.3742,1.8647,3.6398,12759,3342370
Patricia,longo,100000,48.6631,42.9457,81.8377,127227,33260054
Splay,aleatorio,10,0.0044,0.0012,0.0016,10,320
Splay,aleatorio,1000,0.2623,0.2101,0.2249,1000,32000
Splay,aleatorio,10000,3.0047,2.9783,3.0748,10000,320000
Splay,aleatorio,100000,76.1004,54.7083,55.077,100000,3200000
Splay,ordenado,10,0.0013,0.0006,0.0009,10,320
Splay,ordenado,1000,0.0249,0.0356,0.0392,1000,32000
Splay,ordenado,10000,0.253,0.4124,0.4761,10000,320000
Splay,ordenado,100000,2.4329,4.7518,5.2526,100000,3200000
Treap,aleatorio,10,0.0061,0.0002,0.0008,10,240
Treap,aleatorio,1000,0.3463,0.137,0.2729,1000,24000
Treap,aleatorio,10000,2.2772,1.0592,1.7097,10000,240000
Treap,aleatorio,100000,43.4116,27.8378,35.0385,100000,2400000
Treap,ordenado,10,0.0024,0.0003,0.0007,10,240
Treap,ordenado,1000,0.0794,0.0425,0.0387,1000,24000
Treap,ordenado,10000,0.7249,0.5059,0.4849,10000,240000
Treap,ordenado,100000,8.5346,6.4806,5.8562,100000,2400000
KDTree,pontos,10,0.0019,0.0004,0.0018,10,320
KDTree,pontos,1000,0.1075,0.0781,0.2001,1000,32000
KDTree,pontos,10000,2.0073,1.3112,2.6557,10000,320000
KDTree,pontos,100000,35.904,27.1546,43.1577,100000,3200000
